Color;Espina;Ancho;Peso;Satélites;Logit;Log-lin
3;3;26,3;2400;1;1;0-5
3;3;29;3100;1;1;0-5
3;3;25,3;1900;2;1;0-5
3;3;26,5;2300;4;1;0-5
3;3;27,8;3250;3;1;0-5
3;3;27;2500;6;1;6-10
4;3;25,7;2100;0;0;0-5
3;3;25;2100;2;1;0-5
3;3;31,9;3325;2;1;0-5
5;3;23,7;1800;0;0;0-5
5;3;29,3;3225;12;1;>10
4;3;22;1400;0;0;0-5
3;3;25;2400;5;1;0-5
4;3;27;2500;6;1;6-10
4;3;23,8;1800;6;1;6-10
2;1;30,2;3275;2;1;0-5
4;3;26,2;2225;0;0;0-5
3;3;24,2;1650;2;1;0-5
3;3;27,4;2900;3;1;0-5
3;2;25,4;2300;0;0;0-5
4;3;28,4;3200;3;1;0-5
5;3;22,5;1475;4;1;0-5
3;3;26,2;2025;2;1;0-5
3;1;24,9;2300;6;1;6-10
2;2;24,5;1950;6;1;6-10
3;3;25,1;1800;0;0;0-5
3;1;28;2900;4;1;0-5
5;3;25,8;2250;10;1;6-10
3;3;27,9;3050;7;1;6-10
3;3;24,9;2200;0;0;0-5
3;1;28,4;3100;5;1;0-5
4;3;27,2;2400;5;1;0-5
3;2;25;2250;6;1;6-10
3;3;27,5;2625;6;1;6-10
3;1;33,5;5200;7;1;6-10
3;3;30,5;3325;3;1;0-5
4;3;29;2925;3;1;0-5
3;1;24,3;2000;0;0;0-5
3;3;25,8;2400;0;0;0-5
5;3;25;2100;8;1;6-10
3;1;31,7;3725;4;1;0-5
3;3;29,5;3025;4;1;0-5
4;3;24;1900;10;1;6-10
3;3;30;3000;9;1;6-10
3;3;27,6;2850;4;1;0-5
3;3;26,2;2300;0;0;0-5
3;1;23,1;2000;0;0;0-5
3;1;22,9;1600;0;0;0-5
5;3;24,5;1900;0;0;0-5
3;3;24,7;1950;4;1;0-5
3;3;28,3;3200;0;0;0-5
3;3;23,9;1850;2;1;0-5
4;3;23,8;1800;0;0;0-5
4;2;29,8;3500;4;1;0-5
3;3;26,5;2350;4;1;0-5
3;3;26;2275;3;1;0-5
3;3;28,2;3050;8;1;6-10
5;3;25,7;2150;0;0;0-5
3;3;26,5;2750;7;1;6-10
3;3;25,8;2200;0;0;0-5
4;3;24,1;1800;0;0;0-5
4;3;26,2;2175;2;1;0-5
4;3;26,1;2750;3;1;0-5
4;3;29;3275;4;1;0-5
2;1;28;2625;0;0;0-5
5;3;27;2625;0;0;0-5
3;2;24,5;2000;0;0;0-5
